Feature Area,Test ID,Steps / Input,Expected Result,Failure Condition,Actual Result,Pass / Fail,Severity,Evidence / Screenshot Link,Reproducibility,Tester Feedback / Notes,Suggested Fix / Follow-up,Retest Needed,Reviewed By,Review Status,Failure Times
Mastery System,F2-01,Pass Variables quiz only,No mastery granted,Mastery incorrectly awarded,Wasn't Allowed to it was locked,Fail,Medium,I have a SS if Needed,Always,The Variables quiz was locked so it makes me complete the fundementals first,,,,,1
Mastery System,F2-02,Quiz + micro-challenge only,Partial progress only,Full mastery granted early,Micro challenge didn't appear,Fail,Medium,5:06 ish I have a SS if needed,Intermittent,The micro challenge did not appear the first time but everything worked great the second time. I think My Internet was spotty on first day of testing,,,,,1
Mastery System,F2-05,Complete quiz + challenge + review correctly,Mastery awarded (?95%),No mastery awarded,I can't get the micro challenges to reapear,Fail,Medium,6/30/2026 5:50,Intermittent,I can get one correct but I can never make it to the second step,,,,,1
Curriculum & Prerequisite Gates,F3-02,Ask about pointers,Blocked with prerequisite hint,Explanation given,Explination given,Fail,Medium,6/30/2026 6:01,Always,It also gave me micro challenges,,,,,1
Curriculum & Prerequisite Gates,F3-03,Ask about malloc,Blocked,Explanation given,Explination given,Fail,Medium,6/30/2026 6:03,Always,It also gave me micro challenges,,,,,1
Curriculum & Prerequisite Gates,F3-04,Ask about recursion,Blocked,Explanation given,Explination given,Fail,Medium,,,,,,,,1
Curriculum & Prerequisite Gates,F3-05,Master prerequisites ? ask arrays,Arrays explained normally,Still blocked,It says it is mastered but i am not abe to fully master it,Fail,Medium,6/30/2026 6:10,Intermittent,It says masterd but dashboard shows 30% I have ss if needed,,,,,1
Socratic Teaching & Examiner,F4-01,Ask to write loop,"Guided explanation, not full code",Full solution provided,Told me i have already mastered arrays,Fail,Medium,6/30/2026 6:23,Always,It happened on 3 different tests I have ss if needed,,,,,1
Socratic Teaching & Examiner,F4-04,Answer correctly,Positive feedback + next step,No feedback,No feedback + next step,Fail,Medium,,,,,,,,1
Scaffolding & Hint System,F5-02,Say “I don’t know” ×3,Escalation menu appears,No menu,It says i already masterd char,Fail,Medium,,,,,,,,1
Settings & Preferences,F7-02,Ask pointer question,Pirate tone + no diagrams,Missing behavior,No Behavior Change,Fail,Medium,7/1/2026 4:16,Intermittent,The ai responded like regular once and then followed my instructions another time,,,,,1
Audio System (Listen Button),F9-01,Click Listen,Audio plays,No audio,No audio,Fail,Medium,7/1/2026 5:42,Always,Says TTS authentication failed,,,,,1
